Date,Open,High,Low,Close,Adj Close,Volume
2009-09-23,300.000000,300.480988,294.763000,295.868988,115.685089,10933336
2009-09-24,292.500000,292.500000,282.493988,285.556000,111.652702,44169688
2009-09-25,286.237000,286.537994,279.138000,280.062012,109.504539,21200256
2009-09-29,284.894012,287.500000,284.149994,286.919006,112.185631,6782824
2009-09-30,283.000000,290.625000,283.000000,288.299988,112.725578,8042976
2009-10-01,291.250000,293.750000,286.037994,292.093994,114.209068,15046512
2009-10-05,289.375000,291.875000,286.394012,290.388000,113.542007,7023408
2009-10-06,292.487000,294.075012,285.156006,289.044006,113.016518,10445384
2009-10-07,289.381012,291.013000,278.375000,281.593994,110.103554,15837168
2009-10-08,282.750000,283.118988,273.656006,276.350006,108.053162,18074064
2009-10-09,278.750000,284.600006,270.825012,272.200012,106.430489,25903608
2009-10-12,273.750000,280.625000,273.500000,279.924988,109.450974,9146696
2009-10-13,558.750000,558.750000,558.750000,558.750000,218.471802,0
2009-10-14,286.000000,286.000000,276.375000,281.980988,110.254852,8163800
2009-10-15,283.125000,283.955994,273.250000,277.174988,112.360405,7204728
2009-10-16,277.250000,279.950012,273.131012,273.743988,110.969551,8313992
2009-10-20,274.875000,277.875000,271.274994,273.544006,110.888474,12591872
2009-10-21,275.600006,279.875000,272.500000,277.075012,112.319870,12899344
2009-10-22,275.000000,281.250000,273.899994,276.644012,112.145134,15117160
2009-10-23,278.750000,284.375000,276.519012,282.500000,114.519035,12532216
2009-10-26,283.174988,287.424988,278.750000,284.237000,115.223183,10029776
2009-10-27,283.125000,287.493988,276.955994,280.325012,113.637352,14337256
2009-10-28,280.075012,283.500000,277.544006,282.087006,114.351624,12262776
2009-10-29,281.125000,281.125000,274.399994,276.044006,111.901909,15260688
2009-10-30,278.500000,281.125000,267.769012,275.774994,111.792870,14282728
2009-11-03,275.375000,280.912994,266.263000,267.881012,108.592834,12042264
2009-11-04,269.875000,282.500000,269.875000,279.644012,113.361282,12771288
2009-11-05,278.269012,280.281006,270.605988,277.705994,112.575653,9016400
2009-11-06,280.049988,281.250000,274.069000,277.325012,112.421219,6601328
2009-11-09,278.750000,280.000000,275.000000,279.013000,113.105484,5086712
2009-11-10,283.250000,283.730988,275.075012,277.243988,112.388344,6127880
2009-11-11,276.500000,289.375000,276.250000,288.343994,116.888054,9474696
2009-11-12,285.837006,293.625000,285.837006,290.799988,117.883659,8001216
2009-11-13,291.612000,296.812012,289.075012,294.962006,119.570839,7251216
2009-11-16,295.924988,296.837006,291.912994,293.993988,119.178459,5099088
2009-11-17,294.506012,300.600006,294.506012,299.787994,121.527199,8147944
2009-11-18,299.955994,305.424988,299.912994,304.162994,123.300720,8816704
2009-11-19,295.980988,302.500000,295.980988,301.243988,122.117393,6498616
2009-11-20,300.138000,306.125000,297.500000,303.337006,122.965874,6156416
2009-11-23,302.612000,302.612000,298.875000,300.868988,121.965385,4655008
2009-11-24,301.587006,305.862000,298.781006,304.337006,123.371262,7325904
2009-11-25,304.500000,307.125000,302.024994,304.819000,123.566650,5025976
2009-11-26,305.625000,305.674988,295.875000,299.181000,121.281120,7643840
2009-11-27,294.500000,299.375000,288.388000,290.980988,117.957016,8169288
2009-11-30,294.075012,299.112000,293.781006,297.419006,120.566849,7009016
2009-12-01,303.375000,303.375000,294.375000,299.468994,121.397881,6511080
2009-12-02,300.612000,301.000000,294.750000,299.424988,121.380020,7410024
2009-12-03,300.250000,302.375000,295.513000,297.118988,120.445229,7344480
2009-12-04,297.750000,302.937988,296.281006,297.950012,120.782097,7718720
2009-12-07,299.362000,303.306000,296.875000,298.825012,121.136810,6889896
2009-12-08,299.962006,306.375000,297.519012,305.812012,123.969170,8611792
2009-12-09,303.750000,307.750000,302.769012,307.069000,124.478760,7670064
2009-12-10,308.056000,308.056000,303.763000,306.618988,124.296326,4517448
2009-12-11,308.125000,311.080994,306.444000,307.593994,124.691566,6840432
